* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 17, 2025 8:57:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 3
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
3807.442408 89.099 -4.4865
3835.032705 89.299 -4.8451
3862.822933 89.486 -5.6287
3890.814540 89.652 -6.7815
3919.008986 89.789 -8.2303
3947.407741 89.894 -9.8943
3976.012284 89.967 -11.6920
4004.824108 90.009 -13.5497
4033.844715 90.024 -15.4073
4063.075616 90.016 -17.2214
4092.518337 89.987 -18.9622
4122.174412 89.941 -20.6084
4152.045387 89.876 -22.1432
4182.132820 89.796 -23.5529
4212.438278 89.703 -24.8290
4242.963342 89.600 -25.9728
4273.709604 89.491 -26.9950
4304.678665 89.379 -27.9084
4335.872141 89.263 -28.7157
4367.291658 89.141 -29.4014
4398.938854 89.009 -29.9335
4430.815378 88.869 -30.2754
4462.922893 88.722 -30.3972
4495.263072 88.574 -30.2817
4527.837601 88.432 -29.9232
4560.648179 88.308 -29.3265
4593.696515 88.211 -28.5109
4626.984334 88.153 -27.5208
4660.513370 88.142 -26.4415
4694.285371 88.182 -25.4010
4728.302098 88.269 -24.5483
4762.565324 88.392 -24.0157
4797.076835 88.537 -23.8861
4831.838432 88.685 -24.1813
4866.851925 88.822 -24.8687
4902.119140 88.936 -25.8785
4937.641916 89.022 -27.1228
4973.422105 89.076 -28.5107
5009.461572 89.102 -29.9606
5045.762195 89.101 -31.4039
5082.325868 89.080 -32.7834
5119.154496 89.039 -34.0476
5156.250000 88.984 -35.1473
5193.614313 88.915 -36.0327
5231.249383 88.834 -36.6505
5269.157173 88.744 -36.9489
5307.339658 88.650 -36.8884
5345.798829 88.559 -36.4607
5384.536691 88.478 -35.7090
5423.555263 88.415 -34.7366
5462.856580 88.373 -33.6844
5502.442691 88.352 -32.6875
5542.315659 88.349 -31.8313
5582.477563 88.360 -31.1373
5622.930497 88.384 -30.5795
5663.676569 88.420 -30.1155
5704.717904 88.469 -29.7142
5746.056642 88.528 -29.3678
5787.694937 88.595 -29.0856
5829.634960 88.664 -28.8809
5871.878898 88.730 -28.7596
5914.428953 88.791 -28.7170
5957.287343 88.844 -28.7432
6000.456303 88.890 -28.8315
6043.938083 88.929 -28.9797
6087.734950 88.961 -29.1823
6131.849187 88.986 -29.4253
6176.283094 89.004 -29.6879
6221.038987 89.017 -29.9490
6266.119200 89.024 -30.1975
6311.526083 89.029 -30.4387
6357.262002 89.032 -30.6904
6403.329344 89.030 -30.9707
6449.730508 89.020 -31.2820
6496.467914 88.995 -31.6007
6543.543998 88.953 -31.8784
6590.961215 88.891 -32.0547
6638.722037 88.816 -32.0784
6686.828954 88.734 -31.9270
6735.284473 88.656 -31.6157
6784.091120 88.590 -31.1943
6833.251441 88.541 -30.7297
6882.767998 88.510 -30.2860
6932.643372 88.498 -29.9089
6982.880164 88.502 -29.6224
7033.480992 88.519 -29.4329
7084.448495 88.547 -29.3364
7135.785329 88.582 -29.3278
7187.494171 88.622 -29.4075
7239.577717 88.664 -29.5850
7292.038681 88.705 -29.8750
7344.879799 88.739 -30.2887
7398.103826 88.755 -30.8158
7451.713536 88.746 -31.4082
7505.711724 88.703 -31.9729
7560.101205 88.624 -32.3794
7614.884815 88.511 -32.4772
7670.065409 88.375 -32.1196
7725.645865 88.230 -31.1908
7781.629080 88.099 -29.6366
7838.017972 88.004 -27.4985
7894.815481 87.963 -24.9354
7952.024569 87.988 -22.2125
8009.648217 88.078 -19.6442
8067.689429 88.225 -17.5063
8126.151233 88.409 -15.9683
8185.036674 88.611 -15.0741
8244.348824 88.811 -14.7700
8304.090774 88.996 -14.9464
8364.265639 89.155 -15.4733
8424.876556 89.284 -16.2195
8485.926684 89.378 -17.0593
8547.419207 89.435 -17.8698
8609.357330 89.457 -18.5232
8671.744282 89.447 -18.8828
8734.583316 89.412 -18.8093
8797.877707 89.366 -18.1868
8861.630756 89.327 -16.9662
8925.845785 89.312 -15.2113
8990.526143 89.337 -13.1155
9055.675202 89.409 -10.9637
9121.296357 89.525 -9.0463
9187.393031 89.675 -7.5750
9253.968668 89.843 -6.6472
9321.026740 90.010 -6.2587
9388.570742 90.162 -6.3347
9456.604196 90.285 -6.7592
9525.130648 90.371 -7.3939
9594.153671 90.416 -8.0903
9663.676863 90.419 -8.6965
9733.703850 90.385 -9.0634
9804.238280 90.323 -9.0565
9875.283832 90.247 -8.5795
9946.844210 90.175 -7.6064
10018.923143 90.126 -6.2117
10091.524390 90.117 -4.5690
10164.651736 90.158 -2.9133
10238.308993 90.247 -1.4739
10312.500000 90.375 -0.4138
10387.228626 90.525 0.1959
10462.498767 90.681 0.3679
10538.314345 90.827 0.1733
10614.679315 90.948 -0.2816
10691.597657 91.036 -0.8727
10769.073381 91.089 -1.4720
10847.110526 91.109 -1.9634
10925.713161 91.106 -2.2615
11004.885382 91.092 -2.3297
